noteId,tweetId,writer,n_words,n_urls,flesch_kincaid_grade,vader_compound
2002018422255747133,2001690590355099723,bot,31,1,10.5,-0.4215
2002020421793681499,2001709714997154045,bot,35,1,12.5,-0.7556
2002024245480607794,2001790446918418842,bot,38,1,18.1,0.1154
2002024451899109600,2001883349472940218,bot,40,1,10.9,-0.4019
2002025204969562135,2001838978996302163,bot,34,1,16.2,-0.8658
2002403360318599277,2002310525963907540,bot,34,1,8.9,-0.7286
2002404885283668276,2001649522238501365,bot,41,1,11.3,-0.5267
2002406324080914836,2002137242983375043,bot,41,1,9.9,-0.5187
2002408089895436378,2002152361452834866,bot,30,1,8.0,-0.5574
2002410330878587050,2002258231687578001,bot,22,1,6.4,-0.2144
2002830343628271699,2002638374856011820,bot,32,1,8.4,-0.9246
2002842917761687695,2002644317287166369,bot,35,2,13.7,-0.2144
2002846023262032032,2002807465088524766,bot,29,2,8.3,0.0
2002846256251416900,2002783056458141859,bot,33,2,1.8,0.3291
2002847619681239318,2002784945010319710,bot,30,1,12.2,0.9437
2003103009211928658,2002429781049241712,bot,31,1,12.7,-0.765
2003103814367264838,2002907981139353713,bot,42,2,7.6,-0.8519
2003104392065556759,2003072387290747314,bot,37,1,10.3,-0.2144
2003105335448363374,2002980769535508828,bot,36,1,10.2,-0.9444
2003105556148429199,2002982014413336823,bot,40,2,9.5,-0.6802
2003474561224892604,2003151248049222087,bot,34,2,10.1,-0.4019
2003476122692989405,2003343367162462672,bot,38,1,16.5,0.6369
2003478294872629321,2003195084196708657,bot,45,1,9.7,-0.836
2003479225676816449,2003112135002370223,bot,38,1,8.2,0.0
2003603295068209380,2003541516963447151,bot,30,1,8.0,-0.5719
2003946600725393554,2003800308800209297,bot,36,2,9.9,-0.8176
2003948887380197465,2003563088608657886,bot,35,1,10.1,0.2325
2003971052590797083,2003884513836126341,bot,33,1,9.7,0.0
2003971510575173977,2003824356984828188,bot,37,1,12.9,-0.2263
2003971782143848800,2003804750614274201,bot,39,2,8.5,-0.8288
2003972088030183446,2003733551704060273,bot,41,1,18.9,-0.6242
2004201645261955095,2004052778927161579,bot,27,1,12.1,-0.6249
2004202347333833166,2004175545068933371,bot,29,1,12.5,-0.296
2004203901432578107,2004015729436406067,bot,33,2,8.6,-0.6503
2004206716456468793,2004041259296735274,bot,26,2,10.7,-0.4019
2004207099249594372,2003535091625275687,bot,35,1,6.7,-0.2263
2004569280570921000,2004391059993120953,bot,30,2,6.0,0.34
2004569526101295565,2004457064530153517,bot,31,2,9.1,-0.6808
2004695367787373051,2004613636996632993,bot,31,2,16.2,-0.4019
2004699759458607307,2004577838738055433,bot,39,1,8.2,-0.3612
2004700167463727506,2004284512654823450,bot,35,2,11.3,-0.6908
2004979009336017106,2004780688311287818,bot,37,2,12.7,-0.4019
2004979227045539986,2004872634119716891,bot,34,1,11.1,-0.6597
2004980548293308818,2004624755522236462,bot,42,2,6.4,-0.2144
2004984021244088567,2004770583989682389,bot,39,1,9.7,-0.6842
2004985847137870036,2004740107216269431,bot,44,1,5.5,-0.9153
2005401841878614356,2004883342920134717,bot,35,1,9.9,-0.91
2005430299459551600,2005284767403769996,bot,34,2,12.1,-0.4019
2005432707027767669,2005360183837638690,bot,37,1,12.7,-0.5994
2005433815322247288,2005089066413687268,bot,41,2,8.5,-0.7269
2005434270580380142,2005320367284613196,bot,39,1,11.7,-0.836
2005744588682674545,2005641834643480993,bot,37,1,9.3,-0.3716
2005744778848157774,2005351603499389403,bot,35,2,13.0,-0.0446
2005747980159140209,2005138930497454374,bot,31,2,9.3,0.2263
2005748830487109996,2005572031719317961,bot,38,2,6.0,0.7089
2005749364371644814,2005570737109925964,bot,35,1,8.9,0.0498
2005997355800117456,2005852545843859798,bot,37,2,8.0,-0.0258
2006002070550163827,2005631134873551352,bot,43,2,8.5,-0.0
2006003698921521177,2005487585649729871,bot,32,1,20.5,-0.8316
2006004055533842879,2005837528364900423,bot,31,2,8.4,-0.3612
2006004354973610471,2005837463151923404,bot,37,1,18.5,-0.25
2006348282801328187,2005609188597342259,bot,19,1,8.1,-0.4019
2006350134334914821,2006042199834710532,bot,34,1,7.6,-0.7003
2006350420495507687,2006141826701430837,bot,41,2,12.3,-0.5927
2006351697593929972,2006184354800668857,bot,34,1,6.5,-0.5894
2006353151549440057,2006110545208824111,bot,41,2,7.5,-0.6884
2006731341262475676,2006509614272229493,bot,40,1,16.1,0.2842
2006731624562446604,2006396822152163791,bot,31,1,11.7,-0.4023
2006731994558840882,2006550379044155856,bot,33,1,6.2,-0.5574
2006732731384840373,2006520118814134679,bot,39,2,9.5,0.128
2006735533775454432,2006431171547103588,bot,39,2,7.1,-0.5859
2007073425894895826,2006881083607101710,bot,32,1,8.4,0.5859
2007073686478569700,2006798931641119048,bot,40,1,15.0,0.0
2007076618758414812,2006763915510952296,bot,34,2,9.9,-0.5647
2007078036340973987,2006766203134685195,bot,34,1,18.5,-0.4019
2007079694827393360,2006857969674366983,bot,23,2,7.5,0.0
2007448902157369737,2007401865747861548,bot,10,1,8.8,-0.296
2007693748768010632,2007357507992465722,bot,31,2,10.5,-0.6597
2007698523442098219,2007485571120451769,bot,45,2,9.7,-0.2275
2007700620644409753,2007402814344159612,bot,41,2,6.3,-0.3534
2007701161789227501,2007601544758526349,bot,36,2,11.5,0.0
2007850298056843719,2007504660324888927,bot,38,1,10.5,-0.6808
2007850855286931940,2007544849902490034,bot,31,1,3.8,-0.6705
2007851650887614704,2007562712398594541,bot,41,1,18.9,0.5574
2007854421917536485,2007719361327636731,bot,35,2,8.9,-0.3182
2007856783772021012,2007447015349776775,bot,33,2,13.3,0.296
2008179377926750434,2006851336327794903,bot,36,1,9.1,-0.8885
2008179627005509923,2007912417943015764,bot,24,2,10.3,-0.5994
2008183935142883822,2007620914498941347,bot,34,1,9.9,-0.0772
2008184344662208817,2007910992261652632,bot,20,1,13.5,-0.4019
2008185604882772345,2007520004892238108,bot,39,2,8.4,-0.3182
2008554500567470406,2008153338689556956,bot,34,2,9.9,-0.5574
2008556163906891792,2008046048317485288,bot,28,1,7.6,0.8881
2008556597484703961,2008377144565461426,bot,29,1,11.3,-0.296
2008557603006091397,2008201858020692260,bot,31,1,8.5,-0.8481
2008734651146264724,2008508951110053951,bot,37,1,9.3,0.1779
2008735005070032989,2008598912756838509,bot,40,1,11.1,0.5267
2008735313384952263,2008676797320176082,bot,35,1,6.7,-0.5859
2008736613912707161,2008530398163403132,bot,13,1,7.2,0.0
2008768174993375701,2008678342908899716,bot,40,2,7.3,-0.7717
2008768481940942975,2008696140456145058,bot,35,1,12.5,0.0
2008768847227105424,2008584445629272250,bot,36,3,10.3,-0.743
2008769838492041587,2008643890534842742,bot,35,2,11.3,0.0
2008770112594034843,2008686426976592315,bot,40,2,8.7,0.802
2008914177633493212,2008775935592636644,bot,36,1,12.7,0.4378
2008916802928103749,2008703764472221822,bot,32,1,11.9,-0.4404
2008919325487358268,2008612154929541340,bot,28,1,9.6,0.1027
2008920604934594837,2008678355797684567,bot,33,2,7.4,-0.296
