noteId,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,toxicity_model
1996961507171602476,0.17471496760845184,0.00010166415449930355,0.0019686222076416016,0.04002368077635765,0.012771290726959705,0.0006113543058745563,0.026398954913020134,detoxify-unbiased
1996961849707827359,0.00036844611167907715,1.3642871863339678e-06,2.555235187173821e-05,7.410563557641581e-05,9.774140198715031e-05,1.7076879885280505e-05,1.2870313184976112e-05,detoxify-unbiased
1996963040730681754,0.0003583515645004809,1.2691367601291859e-06,2.3701915779383853e-05,7.481718785129488e-05,0.00010059949272545055,1.5367613741545938e-05,1.1670743333525024e-05,detoxify-unbiased
1997031696818991599,0.0005188229843042791,1.4933731335986522e-06,3.543574348441325e-05,7.713823288213462e-05,0.0001258302800124511,2.477048292348627e-05,1.659261033637449e-05,detoxify-unbiased
1997329070267290043,0.000499530287925154,1.3364292499318253e-06,3.0653307476313785e-05,7.969892612891272e-05,0.00012657858314923942,1.9782328308792785e-05,1.5082429854373913e-05,detoxify-unbiased
1997329398756757824,0.00048109222552739084,1.4327758890431141e-06,2.7539395887288265e-05,7.779376755934209e-05,0.00011550545605132356,2.2638669179286808e-05,1.437955506844446e-05,detoxify-unbiased
1997329537986613265,0.0007347052451223135,1.2306200005696155e-06,2.6546786102699116e-05,0.00013666899758391082,0.00017168070189654827,1.9986022380180657e-05,1.4509370885207318e-05,detoxify-unbiased
1997330525191643223,0.00045931682689115405,1.360768465019646e-06,2.643171865202021e-05,0.00011189695214852691,0.00011351059947628528,1.6924495866987854e-05,1.0936902981484309e-05,detoxify-unbiased
1997333321357971672,0.0004759287112392485,1.5501989309996134e-06,3.290821041446179e-05,8.199583680834621e-05,0.00010591567115625367,1.9647746739792638e-05,1.6053494618972763e-05,detoxify-unbiased
1997673496424362379,0.0003963384369853884,1.372339966110303e-06,2.724265505094081e-05,6.954876153031364e-05,0.00010486807150300592,1.770304334058892e-05,1.5208637705654837e-05,detoxify-unbiased
1997674368571265221,0.000355238385964185,1.3785429473500699e-06,2.5216231733793393e-05,6.858762208139524e-05,9.546388173475862e-05,1.770506969478447e-05,1.2828013495891355e-05,detoxify-unbiased
1997677147134005589,0.00237455265596509,1.2425899740264867e-06,6.28444176982157e-05,8.858731598593295e-05,0.0007669107872061431,2.255462641187478e-05,2.3278316803043708e-05,detoxify-unbiased
1997678201850474913,0.0004692070360761136,1.584938445375883e-06,2.4968396246549673e-05,0.0001640727714402601,0.00010265535820508376,1.970868106582202e-05,1.5063715181895532e-05,detoxify-unbiased
1997678601265692863,0.00036182018811814487,1.2764137409249088e-06,2.7924317691940814e-05,6.571714038727805e-05,0.00010216172086074948,1.5945786799420603e-05,1.2247636732354295e-05,detoxify-unbiased
1998125352263053474,0.0005258128512650728,1.4043039300304372e-06,2.6636811526259407e-05,8.471598994219676e-05,0.00012867995246779174,2.7094534743810073e-05,1.574410816829186e-05,detoxify-unbiased
1998125601404625402,0.00048627439537085593,1.4982977063482394e-06,3.267760985181667e-05,9.862494334811345e-05,0.00011664350313367322,2.113351183652412e-05,1.3877785022486933e-05,detoxify-unbiased
1998127181105356913,0.0003484743647277355,1.3434869288175832e-06,2.7389134629629552e-05,6.93129186402075e-05,9.771009354153648e-05,1.638171852391679e-05,1.2574047104862984e-05,detoxify-unbiased
1998127472387191147,0.0007115883054211736,1.5376144801848568e-06,3.815819582086988e-05,8.209716179408133e-05,0.00018437500693835318,2.4981163733173162e-05,1.950455771293491e-05,detoxify-unbiased
1998129284863455726,0.0003568962565623224,1.4068507425690768e-06,2.437792682030704e-05,7.749116775812581e-05,9.356415830552578e-05,1.7163001757580787e-05,1.3837028745911084e-05,detoxify-unbiased
1998476680680047010,0.00038915840559639037,1.2894682868136442e-06,2.76736627711216e-05,6.297892105067149e-05,0.00010531230509513989,1.558926305733621e-05,1.3777854292129632e-05,detoxify-unbiased
1998481764524699788,0.00038178020622581244,1.3083787280265824e-06,2.569015668996144e-05,7.67811288824305e-05,0.0001022786891553551,1.8586579244583845e-05,1.2064267139066942e-05,detoxify-unbiased
1998484723677515891,0.0003726366558112204,1.3604349078377709e-06,2.2884974896442145e-05,8.34778111311607e-05,9.814833902055398e-05,1.9555514882085845e-05,1.2881610018666834e-05,detoxify-unbiased
1998491594983453083,0.00038877499173395336,1.3168357781978557e-06,2.2959231500863098e-05,8.46006951178424e-05,0.00010364792979089543,1.8043179807136767e-05,1.3997116184327751e-05,detoxify-unbiased
1998492194164838477,0.00044871558202430606,1.3497320878741448e-06,3.208203270332888e-05,7.035778980934992e-05,0.00011583713057916611,1.8226932297693565e-05,1.3656457667821087e-05,detoxify-unbiased
1998765207212978519,0.00036105510662309825,1.3685797739526606e-06,2.462908196321223e-05,7.58380483603105e-05,9.634658636059612e-05,1.7941430996870622e-05,1.3336345546122175e-05,detoxify-unbiased
1998765820663447855,0.0003594796871766448,1.2645325568882981e-06,2.7272630177321844e-05,6.294895865721628e-05,0.00010277504770783707,1.4741091945325024e-05,1.1576344149943907e-05,detoxify-unbiased
1998766295777439962,0.0023620540741831064,2.358457322770846e-06,0.00013632005720864981,0.00016011224943213165,0.0007256733952090144,3.079594171140343e-05,3.7823909224243835e-05,detoxify-unbiased
1998766561780215821,0.0005942482966929674,1.3608813560495037e-06,2.9133821954019368e-05,8.508954488206655e-05,0.0001584084238857031,2.346209657844156e-05,1.4253620065574069e-05,detoxify-unbiased
1998766843041919103,0.0006580000626854599,1.8717787497735117e-06,5.2526396757457405e-05,0.00010048511467175558,0.0001444883964722976,2.499205402273219e-05,1.88771646207897e-05,detoxify-unbiased
1999144241734222018,0.0005242309416644275,1.3138942449586466e-06,2.9060345696052536e-05,7.806553912814707e-05,0.0001312500098720193,1.9625087588792667e-05,1.4239353731682058e-05,detoxify-unbiased
1999144865146327316,0.0021599784959107637,1.3425071756500984e-06,5.591210356215015e-05,0.00010359684529248625,0.0006000495050102472,2.7205736842006445e-05,2.0739747924380936e-05,detoxify-unbiased
1999145140695245192,0.0008402277017012239,1.1615917401286424e-06,3.417779225856066e-05,8.212636748794466e-05,0.00022459146566689014,1.9412329493206926e-05,1.4112330973148346e-05,detoxify-unbiased
1999145944462344276,0.00046606481191702187,1.234692149409966e-06,2.5967383407987654e-05,7.192930934252217e-05,0.00012344082642812282,2.070897608064115e-05,1.363381579722045e-05,detoxify-unbiased
