noteId,tweetId,writer,cites_bbc_com,cites_cnn_com,cites_en_wikipedia_org,cites_facebook_com,cites_instagram_com,cites_reuters_com,cites_share_google,cites_snopes_com,cites_t_co,cites_theguardian_com,cites_x_com,cites_x_com_grok,cites_yahoo_com,cites_youtube_com
1994827231143592291,1994543362981171452,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994907959374037157,1994628250660999509,bot,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1994908000801186058,1994654075338854791,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1994908487873155405,1994708413788688719,bot,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1994909075587404127,1994539116449730687,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995152736321499542,1995014910271697028,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995499916869636505,1995335630029463840,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995500670825197957,1995367254209495402,bot,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1995501396955738426,1995410923960635800,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995503876707930606,1995256187374198915,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995505731080999341,1995113520237531301,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995866897066213835,1995734284636745782,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995867307868848224,1995663406737879294,bot,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1995870072921788806,1995257791112708283,bot,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1995872713538183262,1995747245858185571,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1995872941314077050,1995589542045516075,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995872989766672839,1995173541143363963,bot,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1995959999760085181,1995827394096365806,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996234772163514660,1995459325863584052,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996234932327231713,1995792547550298478,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996237005395554413,1995854578420724103,bot,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1996238233705808082,1996044022469853479,bot,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996239843924332612,1995838184400486516,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996240661553594759,1995997361223725354,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996665418929348690,1996217381761270020,bot,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1996665674425393381,1996460807480390067,bot,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1997018561655583119,1996831133414363186,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997021348820840473,1996917036212244569,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997021721199509756,1996957936766050494,bot,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1997025288681669043,1996784574995820738,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997030572049187060,1996890271330730483,bot,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1997030972794028066,1996627296502141094,bot,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1997031313237311533,1996672641059692922,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1997333633414189284,1997196381455335632,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997334530932302282,1997119243956244789,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997334744254542194,1997217671327502716,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997335229082521930,1996996340874674275,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997335785553494351,1997134762818129971,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997667196416246189,1997399573820568026,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997667694825382053,1997301630010585188,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997668178004959520,1997564385926295631,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997673096031948985,1997397107553026101,bot,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1997673158120296917,1997269249300005292,bot,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1998080735429714427,1997778732313153566,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998081217162289531,1997875488212345092,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998081645283303906,1997564215104786801,bot,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1998081927618629988,1997731353190953262,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998082322764091833,1997761810749874513,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998492501053764086,1998366776313422224,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998493000385618287,1998143900461285854,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998493299749880269,1998146188839919943,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1998511193044951245,1998475504383565991,bot,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1998515745219653720,1998450068295393552,bot,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1998838499374485621,1998440572214804785,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998838914291831248,1998572479934271720,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998876080170524727,1998794259659456965,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998877518246326690,1998809357497332176,bot,1,0,0,0,0,0,0,0,0,0,0,0,0,0
